sample_id,pb207_u235_ratio,pb207_u235_ratio_2sigma_abs,pb206_u238_ratio,pb206_u238_ratio_2sigma_abs,error_correlation_rho,age_207pb_206pb_ma
1A,18.15274603,0.466125562,0.592083622,0.015203502,0.85,2997.863737
1A,3.553830874,0.041938606,0.185867396,0.00329012,0.85,1539.289058
1A,3.181287113,0.076116772,0.175516465,0.006299218,0.85,1452.626411
1A,5.458784573,0.064157086,0.238795528,0.004209845,0.85,1894.137334
1A,11.89856819,0.349621906,0.417721513,0.018411197,0.85,2596.452569
1A,2.857057877,0.080146324,0.166507927,0.007006333,0.85,1370.67034
1A,5.352200107,0.145217422,0.235834135,0.009598079,0.85,1877.241434
1A,2.969480104,0.068288932,0.169631519,0.005851507,0.85,1399.842748
1A,13.146317,0.169462386,0.452389555,0.00874728,0.85,2690.211004
1A,12.41716173,0.210314386,0.432130361,0.010978745,0.85,2636.477244
1A,4.092886525,0.047700955,0.200844773,0.003511148,0.85,1652.88599
1A,5.027224793,0.077115181,0.226804868,0.005218614,0.85,1823.919045
1A,6.970383352,0.194635516,0.280794502,0.011761028,0.85,2107.663696
1A,11.17189283,0.274157047,0.397531222,0.01463306,0.85,2537.573668
1A,2.912678442,0.061448921,0.168053315,0.005318144,0.85,1385.208065
1A,6.39471457,0.101153876,0.264799849,0.006283048,0.85,2031.54338
1A,4.749597295,0.088826689,0.219091134,0.006146144,0.85,1776.036774
1A,1.881519996,0.038340048,0.139403122,0.004260961,0.85,1074.598093
1A,7.218954328,0.180010345,0.287700915,0.010761075,0.85,2138.846515
1A,8.169584787,0.106741232,0.31411368,0.006156166,0.85,2249.979191
1A,10.05358516,0.295942646,0.366459635,0.016180949,0.85,2439.71653
1A,4.887148806,0.115107864,0.22291293,0.00787546,0.85,1800.04245
1A,11.76834324,0.306947701,0.414103282,0.016201267,0.85,2586.149082
1A,3.223705202,0.063738071,0.176695029,0.005240337,0.85,1462.875314
1A,3.563695902,0.075208099,0.186141491,0.005892484,0.85,1541.486318
1A,3.766586982,0.082566792,0.191778712,0.006305929,0.85,1585.653177
1A,2.119186555,0.025817795,0.146006562,0.002668171,0.85,1155.071583
1A,2.592824033,0.070926129,0.159166329,0.00653094,0.85,1298.612512
1A,3.997410334,0.076262345,0.198192017,0.005671642,0.85,1633.669945
1A,8.460707852,0.095869779,0.32220238,0.005476398,0.85,2281.715191
1A,4.065073432,0.115526986,0.200072001,0.008528892,0.85,1647.325619
1A,10.42677873,0.115819701,0.376828621,0.006278667,0.85,2473.432109
1A,10.17697113,0.166493436,0.369887849,0.009076949,0.85,2450.98798
1A,4.850316476,0.072695338,0.221889564,0.004988438,0.85,1793.669857
1A,4.252541235,0.046944812,0.205280694,0.003399213,0.85,1684.228059
1A,2.153724799,0.056084109,0.146966189,0.005740613,0.85,1166.252963
1A,2.853097054,0.057873526,0.166397877,0.005062936,0.85,1369.627105
1A,2.455906116,0.031424223,0.155362137,0.002981874,0.85,1259.160974
1A,5.117069133,0.08468704,0.229301145,0.00569237,0.85,1838.943069
1A,6.278319829,0.123169388,0.261565882,0.007697181,0.85,2015.433866
1A,7.020388228,0.145002226,0.282183861,0.008742527,0.85,2114.014142
1A,3.774247197,0.102713803,0.191991547,0.007837397,0.85,1587.283654
1A,11.42972808,0.328248034,0.404695039,0.017433532,0.85,2558.857723
1A,11.26077465,0.291679927,0.400000757,0.015541407,0.85,2544.961277
1A,2.065208444,0.0439869,0.144506809,0.004616778,0.85,1137.346373
1A,4.242623669,0.084186654,0.20500514,0.006101895,0.85,1682.309055
1A,4.024667497,0.093200295,0.198949343,0.006910684,0.85,1639.193057
1A,5.779361109,0.145932584,0.247702578,0.009381974,0.85,1943.324228
1A,8.014991377,0.230210985,0.309818384,0.013348161,0.85,2232.714525
1A,5.552371021,0.142174178,0.241395778,0.009271781,0.85,1908.74445
1A,5.101661374,0.063105365,0.228873049,0.004246592,0.85,1836.382282
1A,2.489530737,0.025507866,0.156296379,0.002402132,0.85,1268.992504
1A,5.368187259,0.086097928,0.23627833,0.005684342,0.85,1879.793729
1A,2.181060929,0.034195041,0.147725709,0.003474103,0.85,1175.016263
1A,2.555843145,0.027040795,0.158138834,0.002509661,0.85,1288.107028
1A,8.605702012,0.199010136,0.326230966,0.011316323,0.85,2297.158838
1A,15.3538667,0.226792831,0.513725157,0.011382395,0.85,2837.451759
1A,2.494941893,0.059784835,0.156446725,0.005623262,0.85,1270.565822
1A,2.550516664,0.033422633,0.157990841,0.00310553,0.85,1286.584893
1A,3.107836747,0.069089921,0.173475685,0.005784774,0.85,1434.631214
1A,14.44837891,0.194512124,0.488566657,0.009866035,0.85,2779.615244
1A,12.85851175,0.2922504,0.444393038,0.015150359,0.85,2669.340113
1A,4.242767243,0.101807402,0.205009129,0.007378951,0.85,1682.336862
1A,3.657921058,0.071268646,0.188759487,0.005516508,0.85,1562.237116
1A,11.85708931,0.263461571,0.416569045,0.013884091,0.85,2593.182065
1A,3.761857974,0.061471837,0.191647319,0.004697511,0.85,1584.645299
1A,15.35920973,0.327388283,0.51387361,0.016430162,0.85,2837.783444
1A,3.307123012,0.069392991,0.179012749,0.005634307,0.85,1482.73358
1A,5.62736801,0.156035985,0.24347953,0.010126822,0.85,1920.300293
1A,2.169856155,0.058038547,0.14741439,0.005914482,0.85,1171.433426
1A,4.952188127,0.077314694,0.224720014,0.00526257,0.85,1811.198563
1A,6.930812481,0.183967803,0.279695046,0.011136115,0.85,2102.610029
1A,2.460773602,0.042567415,0.155497377,0.004034781,0.85,1260.590088
1A,2.014751151,0.048571877,0.143104879,0.005174986,0.85,1120.492755
1A,6.166891191,0.081865641,0.258469896,0.005146792,0.85,1999.768467
1A,10.41630656,0.310472946,0.376537657,0.016834867,0.85,2472.501125
1A,11.13014233,0.20786187,0.396371207,0.011103694,0.85,2534.084842
1A,5.206473896,0.076311526,0.231785209,0.00509593,0.85,1853.676117
1A,7.6228152,0.113376791,0.298921976,0.006668956,0.85,2187.553049
1A,2.52310902,0.028163371,0.157229334,0.002632531,0.85,1278.716398
1A,6.454598609,0.163769637,0.266463695,0.010141296,0.85,2039.733061
1A,2.482418039,0.041733955,0.156098757,0.003936455,0.85,1266.920741
1A,4.906004034,0.110957351,0.223436813,0.007580087,0.85,1803.289299
1A,10.10029531,0.191543481,0.367757452,0.010461309,0.85,2443.998287
1A,7.357472544,0.1668336,0.29154957,0.009916503,0.85,2155.816677
1A,1.922258174,0.046929855,0.140535011,0.005146516,0.85,1088.852784
1A,1.995556239,0.037519997,0.142571559,0.004020897,0.85,1114.007145
1A,4.405959674,0.108717363,0.209543345,0.007755745,0.85,1713.460921
1A,3.018188466,0.059742007,0.170984855,0.00507671,0.85,1412.226401
1A,1.907790108,0.022314248,0.140133023,0.002458575,0.85,1083.813149
1A,4.385645997,0.076547271,0.20897894,0.005471292,0.85,1709.638286
1A,14.72512455,0.402130355,0.496255888,0.020328476,0.85,2797.64403
1A,3.07948596,0.083646556,0.172687973,0.007035957,0.85,1427.599117
1A,3.50458586,0.055999332,0.18449915,0.004422133,0.85,1528.248929
1A,4.097613495,0.047926637,0.200976109,0.003525995,0.85,1653.827982
1A,6.812227319,0.123702139,0.27640022,0.007528661,0.85,2087.312902
1A,11.27926499,0.224889729,0.400514501,0.011978387,0.85,2546.491411
1A,11.35714049,0.216530679,0.402678231,0.011515952,0.85,2552.91067
1A,3.762500071,0.078324463,0.19166516,0.005984879,0.85,1584.782206
1A,7.756628099,0.159715497,0.302639896,0.009347415,0.85,2203.189227
1A,3.062597249,0.050379256,0.172218729,0.004249458,0.85,1423.386795
1A,10.71464621,0.201089535,0.384826867,0.010833487,0.85,2498.695103
1A,5.133860508,0.109060728,0.229767685,0.007321575,0.85,1841.726481
1A,12.47279059,0.133669089,0.433675979,0.006971464,0.85,2640.678417
1A,2.009336506,0.038383063,0.142954436,0.00409615,0.85,1118.667436
1A,4.739876099,0.053136708,0.218821036,0.003679662,0.85,1774.318551
1A,3.331248785,0.033423132,0.17968307,0.002704198,0.85,1488.405243
1A,12.10512753,0.201694221,0.423460656,0.010583478,0.85,2612.584219
1A,5.628431514,0.083580278,0.243509079,0.005424039,0.85,1920.46322
1A,5.09657522,0.055916493,0.228731733,0.003764256,0.85,1835.535537
1A,5.297912453,0.150336021,0.234325781,0.009974006,0.85,1868.526397
1A,4.269331131,0.095557799,0.205747193,0.006907668,0.85,1687.468583
1A,10.50512246,0.200533844,0.37900536,0.010852334,0.85,2480.369972
1A,3.994959159,0.103806099,0.198123913,0.007722158,0.85,1633.171788
1A,4.015797597,0.042554184,0.198702898,0.003158391,0.85,1637.399047
1A,6.744281785,0.167066703,0.274512389,0.01020017,0.85,2078.443151
1A,7.199058761,0.171783282,0.287148127,0.010277854,0.85,2136.385604
1A,10.22282091,0.305270726,0.37116176,0.016625277,0.85,2455.144729
1A,4.143044254,0.09295268,0.202238379,0.006806082,0.85,1662.837154
1A,7.965129581,0.21286732,0.308433,0.012364263,0.85,2227.082866
1A,4.402186259,0.110796182,0.209438502,0.007906862,0.85,1712.751926
1B,18.07585157,0.332332625,0.591075118,0.010867181,0.85,2993.778971
1B,18.21362573,0.186678691,0.592879668,0.006076659,0.85,3001.086156
1B,18.13854386,0.370109756,0.591897611,0.012077435,0.85,2997.110529
1B,18.14551312,0.215594812,0.591988904,0.00703368,0.85,2997.480211
1B,18.22254236,0.326186147,0.592996081,0.010614716,0.85,3001.557264
1B,18.21616844,0.23658218,0.592912869,0.007700446,0.85,3001.220522
1B,18.08569624,0.245401832,0.591204426,0.008021955,0.85,2994.302855
1B,18.32945258,0.498188238,0.594388338,0.016155271,0.85,3007.188885
1B,18.22318004,0.259551808,0.593004404,0.008446131,0.85,3001.590947
1B,17.99407454,0.443911985,0.589998813,0.014555211,0.85,2989.416728
1B,18.19583531,0.319901961,0.592647265,0.010419364,0.85,3000.14555
1B,18.18197152,0.451537048,0.592466032,0.014713496,0.85,2999.411946
1B,17.94212533,0.460380629,0.589313056,0.015121303,0.85,2986.635828
1B,18.34122662,0.22178765,0.594541271,0.007189373,0.85,3007.807191
1B,18.15722134,0.495900057,0.592142212,0.016172263,0.85,2998.100967
1B,18.10874372,0.217255117,0.591506931,0.007096456,0.85,2995.52827
1B,18.32847301,0.455865915,0.594375611,0.014783315,0.85,3007.137426
1B,18.16136,0.537294622,0.592196385,0.01751983,0.85,2998.320304
1B,18.19644657,0.443743107,0.592655253,0.01445264,0.85,3000.177882
1B,18.18426811,0.325363795,0.592496061,0.010601294,0.85,2999.533507
1B,18.22765655,0.40419505,0.593062829,0.013151063,0.85,3001.827372
1B,18.27370907,0.332267189,0.59366322,0.010794459,0.85,3004.256428
1B,18.28488422,0.524915643,0.593808729,0.01704684,0.85,3004.844989
1B,18.14685261,0.252873553,0.592006448,0.008249517,0.85,2997.551249
1B,18.19602206,0.325383808,0.592649706,0.010597845,0.85,3000.155428
1B,18.1944057,0.24121106,0.592628582,0.007856732,0.85,3000.069926
1B,18.23329013,0.306128829,0.59313634,0.009958495,0.85,3002.124829
1B,18.25618621,0.271504813,0.593434916,0.008825525,0.85,3003.332863
1B,18.05725289,0.452696978,0.590830675,0.014812179,0.85,2992.788504
1B,18.2010227,0.283249177,0.592715049,0.00922399,0.85,3000.419905
1B,18.27178692,0.250603454,0.593638185,0.008141939,0.85,3004.155159
1B,18.15466152,0.351625527,0.5921087,0.011468158,0.85,2997.965281
1B,18.18868136,0.198319602,0.592553759,0.006460888,0.85,2999.767064
1B,18.09806237,0.528221757,0.591366774,0.017260013,0.85,2994.960535
1B,18.19903926,0.362345258,0.592689133,0.011800518,0.85,3000.315012
1B,18.00886418,0.271010459,0.590193755,0.008881664,0.85,2990.207043
1B,18.17221128,0.459685548,0.592338375,0.014983834,0.85,2998.895163
1B,18.19043941,0.509929624,0.592576741,0.016611607,0.85,2999.860088
1B,18.28285701,0.542037962,0.593782339,0.017604063,0.85,3004.738248
1B,18.08263805,0.206801056,0.591164264,0.006760816,0.85,2994.140142
1B,10.76858151,0.240517599,0.398680027,0.013356852,0.85,2503.35929
1B,4.656301161,0.100969829,0.212244769,0.006903651,0.85,1759.425469
1B,3.114821089,0.079263038,0.173325413,0.006615933,0.85,1436.356151
1B,9.068637992,0.138666696,0.347643987,0.00797363,0.85,2344.951458
1B,2.441919088,0.059106417,0.156931133,0.005697755,0.85,1255.043093
1B,2.27739528,0.030118738,0.156013079,0.003094928,0.85,1205.309423
1B,2.278480082,0.0469251,0.145184686,0.004485099,0.85,1205.645454
1B,4.618644901,0.090713027,0.213641362,0.006294072,0.85,1752.643056
1B,2.029305745,0.021512856,0.143658697,0.002284408,0.85,1125.383019
1B,12.20168642,0.219740475,0.416618623,0.011254343,0.85,2620.038159
1B,4.051560388,0.078499736,0.214700684,0.006239799,0.85,1644.613071
1B,11.14967538,0.288655514,0.386576791,0.015012211,0.85,2535.718588
1B,3.861654244,0.072443831,0.194069417,0.005461053,0.85,1605.705193
1B,3.633774571,0.069642165,0.190783202,0.005484609,0.85,1556.959718
1B,11.70793471,0.191812615,0.407701606,0.010019143,0.85,2581.333785
1B,3.212490919,0.093166162,0.174708148,0.007600125,0.85,1460.175803
1B,6.916642944,0.131365405,0.275978307,0.007862341,0.85,2100.794279
1B,2.447165353,0.042401324,0.150923729,0.003922517,0.85,1256.589589
1B,3.097516041,0.087169449,0.172853385,0.007296589,0.85,1432.076912
1B,5.88123965,0.073610421,0.247493706,0.004646499,0.85,1958.469632
1B,12.9500902,0.214077123,0.443738056,0.011003109,0.85,2676.027795
1B,9.347391889,0.117658015,0.353672521,0.00667765,0.85,2372.680608
1B,7.997730019,0.112371691,0.30756692,0.00648218,0.85,2230.768468
1B,4.525097536,0.101857969,0.212700791,0.007181703,0.85,1735.595168
1B,7.230598231,0.130159654,0.285166029,0.007700008,0.85,2140.284004
1B,2.441544101,0.040149517,0.152968503,0.003773193,0.85,1254.932464
1B,4.354636371,0.123033443,0.211460298,0.00896172,0.85,1703.774988
1B,2.141513073,0.054077064,0.147182822,0.005574947,0.85,1162.313605
1B,5.161038332,0.078221565,0.22887042,0.005203198,0.85,1846.215488
1B,4.291902855,0.057314029,0.201967717,0.004045612,0.85,1691.808792
1B,12.05633814,0.222511857,0.420162718,0.011631789,0.85,2608.796971
1B,3.852728907,0.09945727,0.19480376,0.007543218,0.85,1603.839375
1B,7.689327437,0.104014513,0.309718898,0.006284411,0.85,2195.355172
1B,5.752482558,0.171658912,0.246254777,0.011022674,0.85,1939.290474
1B,1.946698996,0.031860703,0.138661605,0.003404114,0.85,1097.309803
1B,5.110463382,0.13159074,0.234022039,0.009038848,0.85,1837.845977
1B,2.741728687,0.071361135,0.15889096,0.00620337,0.85,1339.846393
1B,5.158181611,0.067420067,0.225579549,0.00442266,0.85,1845.744571
1B,4.470113521,0.113954269,0.214496005,0.008202052,0.85,1725.439782
1B,15.3461339,0.417660679,0.5159485,0.021063097,0.85,2836.971529
1B,2.603345912,0.064448304,0.160079817,0.005944392,0.85,1301.581798
1B,8.642318699,0.150014118,0.316820752,0.008249103,0.85,2301.022093
1B,9.192345773,0.124334081,0.339637381,0.006890815,0.85,2357.35089
1B,10.20233917,0.235376091,0.368657253,0.012757825,0.85,2453.289954
1B,5.022016362,0.069534907,0.237964808,0.004942296,0.85,1823.041222
1B,8.824519461,0.185475298,0.338526452,0.010672813,0.85,2320.029697
1B,2.468497994,0.048688263,0.159061515,0.004705956,0.85,1262.853882
1B,8.069026866,0.142881403,0.315843717,0.008389152,0.85,2238.782522
1B,7.832340281,0.0886745,0.309547822,0.005256858,0.85,2211.930768
1B,5.499271904,0.119419035,0.231332375,0.007535222,0.85,1900.482465
1B,9.335872151,0.172290539,0.355491945,0.009840735,0.85,2371.549553
1B,9.961882032,0.110630766,0.368851477,0.006144369,0.85,2431.257537
1B,6.550073529,0.18728843,0.269982531,0.01157955,0.85,2052.655026
1B,12.24384009,0.331167057,0.437158959,0.017736181,0.85,2623.275164
1B,2.882648359,0.051960599,0.170114081,0.004599536,0.85,1377.384868
1B,6.985684212,0.206585424,0.284350668,0.012613518,0.85,2109.611073
1B,4.914100609,0.080697948,0.223461786,0.005504438,0.85,1804.68034
1B,10.08595996,0.183296059,0.35550305,0.009691042,0.85,2442.686134
1B,5.60391725,0.092942364,0.243429505,0.006056009,0.85,1916.701016
1B,5.275194543,0.086588683,0.236859871,0.005831837,0.85,1864.857072
1B,6.946650475,0.123524882,0.274820394,0.007330257,0.85,2104.635748
1B,8.993594074,0.256767985,0.342539653,0.014669311,0.85,2337.355227
1B,3.983292536,0.113436237,0.199301361,0.008513559,0.85,1630.797405
1B,4.23466671,0.044593788,0.203510042,0.003214639,0.85,1680.766793
1B,3.066806506,0.078918114,0.172362307,0.006653097,0.85,1424.438289
1B,7.012650005,0.092649493,0.281153753,0.005571807,0.85,2113.034009
1B,2.699293354,0.073185515,0.167389246,0.006807597,0.85,1328.265031
1B,10.01854429,0.196716832,0.361064563,0.010634401,0.85,2436.49256
1B,3.919932995,0.071940123,0.207405358,0.005709575,0.85,1617.804652
1B,12.02521981,0.33053343,0.416660822,0.017178937,0.85,2606.37403
1B,6.377260088,0.091108905,0.26312888,0.005638797,0.85,2029.143837
1B,11.42255652,0.206746916,0.397519082,0.010792572,0.85,2558.271711
1B,2.993060859,0.067896654,0.161805735,0.005505769,0.85,1405.8568
1B,5.480719825,0.159895345,0.244126667,0.010683282,0.85,1897.579924
1B,15.07612944,0.432948476,0.50860364,0.021908724,0.85,2820.059428
1B,2.510089037,0.071072913,0.158010246,0.006711066,0.85,1274.957002
1B,4.036025572,0.06543642,0.206211966,0.005014998,0.85,1641.485702
1B,10.08654886,0.243659529,0.358969484,0.013007373,0.85,2442.740071
1B,2.589495875,0.067108783,0.158978605,0.00618008,0.85,1297.671491
1B,4.643398661,0.091283496,0.21130044,0.006230859,0.85,1757.106649
1B,5.549047968,0.064084411,0.235700278,0.004083055,0.85,1908.229366
1B,2.787093444,0.03665158,0.166467402,0.003283686,0.85,1352.082879
1B,9.495488477,0.280533331,0.346821498,0.015369666,0.85,2387.110216
1B,8.575617267,0.183272898,0.329028631,0.010547701,0.85,2293.973701
1B,2.161843772,0.0483297,0.148372362,0.004975469,0.85,1168.863613
1B,2.661591083,0.049923015,0.154346775,0.004342585,0.85,1317.863406
1B,2.105906413,0.034567785,0.144542466,0.003558928,0.85,1150.739294
1B,3.715471323,0.049703572,0.188149445,0.003775443,0.85,1574.705664
1B,2.132906768,0.04300763,0.145683461,0.004406311,0.85,1159.528104
1B,5.471346874,0.062026006,0.242665488,0.004126471,0.85,1896.110331
1B,4.390585214,0.085089987,0.200107973,0.005817169,0.85,1710.569075
1B,2.264749684,0.058057177,0.150426685,0.005784314,0.85,1201.384062
1B,5.966283569,0.138719624,0.244555224,0.008529081,0.85,1970.941645
1B,3.629748832,0.073013292,0.184580874,0.005569335,0.85,1556.077188
1B,3.117917761,0.043562528,0.173364162,0.003633281,0.85,1437.120006
1B,4.107203881,0.11960561,0.193650659,0.008458932,0.85,1655.736476
1B,10.73590417,0.270662026,0.384381476,0.014535916,0.85,2500.535996
1B,3.314959264,0.051277759,0.178066025,0.004131647,0.85,1484.57926
1B,7.278490339,0.1428219,0.29119482,0.008570939,0.85,2146.175179
1B,2.779176247,0.041173667,0.16614147,0.003692094,0.85,1349.957924
1B,6.14137994,0.153753219,0.268615656,0.010087437,0.85,1996.147664
1B,7.427151898,0.129124429,0.288590384,0.007525914,0.85,2164.247207
1B,8.626758313,0.235885296,0.328960722,0.013492379,0.85,2299.382185
1B,1.82028805,0.034983439,0.138986402,0.004006692,0.85,1052.788775
1B,13.45668925,0.287479922,0.456328426,0.014623054,0.85,2712.247785
1B,4.530841791,0.122136712,0.210015915,0.008492016,0.85,1736.650278
1B,1.891071049,0.02905007,0.13899747,0.003202857,0.85,1077.958104
1B,4.051420292,0.054272824,0.197563025,0.003969831,0.85,1644.584911
1B,9.323656781,0.220286211,0.355601872,0.012602489,0.85,2370.348821
1B,9.618272184,0.123124542,0.356897422,0.006853024,0.85,2398.919945
1B,3.322416487,0.050806234,0.183568403,0.004210679,0.85,1486.332556
1B,5.713732789,0.100369489,0.244426829,0.006440535,0.85,1933.446818
1B,2.322743317,0.025022649,0.158539636,0.002561894,0.85,1219.26257
1B,9.313432853,0.232291135,0.346601888,0.012967165,0.85,2369.342749
1B,6.127894354,0.166901098,0.264240453,0.010795394,0.85,1994.22843
1B,3.750456071,0.106764006,0.190259304,0.00812415,0.85,1582.211127
1B,8.792069792,0.123187883,0.323880238,0.00680695,0.85,2316.67041
1B,9.814460048,0.255709987,0.361135705,0.014113768,0.85,2417.509399
1B,7.957624309,0.14356315,0.312323265,0.008451915,0.85,2226.23247
1B,9.118333862,0.207761299,0.336898843,0.011514364,0.85,2349.950766
1C,18.26522319,0.259707506,0.59355268,0.00843954,0.85,3003.809274
1C,18.21127852,0.492067697,0.592849016,0.016018746,0.85,3000.962106
1C,17.97279462,0.261562087,0.589718098,0.008582299,0.85,2988.278511
1C,18.22856435,0.49852336,0.593074676,0.016219685,0.85,3001.875311
1C,18.07813714,0.404558476,0.591105144,0.013227945,0.85,2993.900621
1C,18.2068817,0.228785221,0.592791589,0.007448939,0.85,3000.729691
1C,18.21985579,0.524189427,0.59296101,0.017059624,0.85,3001.415343
1C,18.02697319,0.339347945,0.590432276,0.011114566,0.85,2991.173898
1C,18.19386664,0.373868542,0.592621537,0.01217787,0.85,3000.04141
1C,18.05454891,0.476822783,0.590795119,0.015602969,0.85,2992.644424
1C,17.96627362,0.222007052,0.589632023,0.007286011,0.85,2987.929461
1C,18.05257947,0.36208959,0.59076922,0.011849353,0.85,2992.539471
1C,18.18182436,0.393688988,0.592464107,0.012828558,0.85,2999.404156
1C,18.17620634,0.467816066,0.592390634,0.015246848,0.85,2999.106724
1C,18.14526376,0.270990461,0.591985638,0.00884101,0.85,2997.466987
1C,18.24383713,0.429814532,0.593273915,0.013977199,0.85,3002.681485
1C,18.17074998,0.250222215,0.592319258,0.008156594,0.85,2998.817768
1C,18.22983432,0.532539504,0.593091249,0.017325693,0.85,3001.942371
1C,18.26426902,0.517923528,0.593540248,0.016831139,0.85,3003.758982
1C,18.42000941,0.313895629,0.595562565,0.01014899,0.85,3011.934759
1C,18.18338359,0.354187851,0.592484496,0.011540801,0.85,2999.48669
1C,18.3060149,0.217405098,0.594083673,0.007055431,0.85,3005.956948
1C,18.21426307,0.5010886,0.59288799,0.016310812,0.85,3001.119837
1C,18.21975048,0.469265288,0.592959636,0.015272184,0.85,3001.409779
1C,18.18464394,0.538257656,0.592500975,0.017537775,0.85,2999.553398
1C,18.20585886,0.291774507,0.592778229,0.009500105,0.85,3000.675617
1C,18.17160216,0.304140484,0.592330407,0.009913912,0.85,2998.862903
1C,18.28673932,0.423696716,0.593832877,0.013758879,0.85,3004.942659
1C,18.12458959,0.190109125,0.591714735,0.006206506,0.85,2996.369925
1C,18.05177606,0.437545378,0.590758654,0.014319019,0.85,2992.496653
1C,18.14232175,0.361251753,0.591947103,0.011786911,0.85,2997.310943
1C,18.1327385,0.307631295,0.591821543,0.010040559,0.85,2996.802483
1C,18.14227417,0.192632068,0.59194648,0.006285203,0.85,2997.308419
1C,18.17972503,0.52544797,0.592436654,0.017123176,0.85,2999.293022
1C,18.14260454,0.453458345,0.591950807,0.014795287,0.85,2997.325943
1C,18.17841658,0.496855693,0.592419542,0.016192116,0.85,2999.22375
1C,18.1428811,0.259778767,0.59195443,0.008475897,0.85,2997.340613
1C,18.23189284,0.466470251,0.593118109,0.015175163,0.85,3002.05106
1C,18.41882888,0.269189823,0.595547287,0.00870388,0.85,3011.873033
1C,18.21233923,0.531259506,0.592862868,0.017293991,0.85,3001.018166
1C,3.720779683,0.070660005,0.17759184,0.005058875,0.85,1575.848071
1C,3.120243399,0.067310471,0.190118168,0.006151897,0.85,1437.693292
1C,10.9097651,0.14600205,0.398456517,0.007998633,0.85,2515.468001
1C,10.13065571,0.116311615,0.342860349,0.005904649,0.85,2446.771668
1C,11.47976297,0.317340844,0.40586488,0.01682929,0.85,2562.936863
1C,3.979746098,0.077020221,0.190969859,0.005543774,0.85,1630.074535
1C,11.10991521,0.298205712,0.374753881,0.01508838,0.85,2532.390268
1C,7.10533643,0.114774697,0.280868781,0.00680544,0.85,2124.712051
1C,8.900607739,0.140600073,0.341866868,0.008100543,0.85,2327.863272
1C,4.406590634,0.105188885,0.208491741,0.0074653,0.85,1713.579425
1C,3.457301057,0.040568765,0.184138662,0.003241088,0.85,1517.53408
1C,9.069740683,0.176416611,0.338309912,0.00987076,0.85,2345.062654
1C,4.964072176,0.109407849,0.222773705,0.007364878,0.85,1813.22384
